cusip,par_traded,price,yield,maturity_date,settlement_date
13077DAZ5,100000.00,102.123,1.451,2018-11-01,2017-12-28
64711NQ24,10000.00,104.620,1.782,2019-06-15,2017-12-29
248775B80,60000.00,101.838,1.611,2024-07-15,2017-12-28
796176EG6,200000.00,101.530,1.380,2018-08-01,2017-12-29
7178183M8,80000.00,101.145,1.590,2022-05-01,2017-12-29
022168HX9,60000.00,101.986,1.611,2026-08-01,2017-12-28
216181ER4,100000.00,103.080,1.580,2024-12-01,2018-01-03
575579XA0,300000.00,105.068,1.580,2019-07-01,2017-12-29
20772G6K9,35000.00,102.921,1.791,2018-12-01,2017-12-29
97710BCL4,100000.00,102.094,1.630,2028-08-15,2017-12-29
84552YQB0,20000.00,106.875,3.003,2040-10-15,2017-12-29
745401CA5,25000.00,98.030,3.165,2033-02-01,2017-12-29
64990ECM7,50000.00,113.377,2.144,2030-12-15,2017-12-28
671409ZM5,65000.00,107.353,3.298,2030-12-01,2017-12-29
671409ZM5,65000.00,106.353,3.647,2030-12-01,2017-12-29
702248ND3,70000.00,103.280,1.656,2019-06-01,2017-12-29
898116L48,125000.00,103.993,1.570,2021-09-01,2017-12-29
121342MZ9,250000.00,100.000,,2037-01-01,2017-12-27
017357C51,20000.00,94.551,3.377,2037-12-01,2017-12-29
85236DBB3,355000.00,108.929,2.940,2028-10-01,2017-12-29
969872AY6,345000.00,103.070,1.520,2019-04-01,2017-12-29
650009G64,560000.00,106.479,1.700,2020-01-01,2017-12-29
812702FB9,20000.00,105.522,3.245,2038-06-01,2017-12-29
38122NYR7,20000.00,98.000,3.409,2034-06-01,2017-12-29
246428F76,55000.00,100.833,2.899,2037-07-01,2017-12-29
246428F76,55000.00,98.833,3.080,2037-07-01,2017-12-29
45204EXR4,20000.00,121.106,2.258,2026-07-01,2017-12-29
186162HZ9,250000.00,96.543,3.679,2051-12-01,2017-12-28
20772JG22,10000.00,110.063,2.596,2022-06-15,2017-12-29
7987646G6,20000.00,119.082,1.919,2024-08-15,2017-12-29
7987646G6,20000.00,117.178,2.200,2024-08-15,2017-12-29
85236DAH1,390000.00,108.929,2.940,2028-10-01,2017-12-29
87354VAQ3,20000.00,95.218,3.342,2036-12-01,2017-12-29
017357C51,20000.00,94.801,3.359,2037-12-01,2017-12-29
129515AK8,50000.00,43.440,,2021-09-01,2017-12-29
20772JG22,10000.00,110.063,2.596,2022-06-15,2017-12-29
121342MZ9,250000.00,100.000,,2037-01-01,2017-12-27
64971M7K2,1380000.00,108.751,1.822,2033-11-01,2017-12-29
976834FP1,25000.00,101.613,1.780,2018-07-01,2017-12-29
898116L48,125000.00,103.993,1.570,2021-09-01,2017-12-29
969872AY6,65000.00,103.070,1.520,2019-04-01,2017-12-29
969872AY6,30000.00,103.070,1.520,2019-04-01,2017-12-29
969872AY6,175000.00,103.070,1.520,2019-04-01,2017-12-29
969872AY6,75000.00,103.070,1.520,2019-04-01,2017-12-29
914713K68,400000.00,107.036,3.300,2034-12-01,2017-12-29
9400938F7,30000.00,115.240,2.909,2035-10-01,2017-12-29
072024RQ7,10000.00,113.506,1.696,2026-04-01,2017-12-29
072024RQ7,10000.00,113.626,1.669,2026-04-01,2017-12-29
914233WB3,75000.00,108.416,2.200,2022-02-15,2017-12-29
914233WB3,75000.00,108.516,2.168,2022-02-15,2017-12-29
64966HAX8,150000.00,102.372,1.682,2020-09-01,2017-12-29
976834FP1,25000.00,101.613,1.780,2018-07-01,2017-12-29
649907V74,75000.00,101.744,1.630,2018-10-01,2018-01-03
64966HAX8,150000.00,102.447,1.572,2020-09-01,2017-12-29
650014WZ2,25000.00,100.863,1.682,2018-04-01,2018-01-03
776066PP1,50000.00,101.021,1.710,2018-06-15,2018-01-03
16876QBF5,20000.00,88.855,6.468,2039-05-15,2017-12-29
492314EF2,15000.00,50.434,3.666,2036-11-01,2017-12-29
219764KB2,100000.00,102.100,1.420,2019-08-01,2017-12-28
74514LTM9,280000.00,17.697,,2018-07-01,2017-12-29
172254DD3,130000.00,102.898,1.530,2028-11-01,2017-12-27
74514LTM9,280000.00,17.699,,2018-07-01,2017-12-29
505318SQ9,100000.00,98.712,3.100,2034-07-15,2017-12-29
706711HC5,65000.00,100.249,2.965,2033-03-01,2017-12-29
491501DS8,60000.00,110.409,2.042,2021-09-01,2017-12-29
491501DS8,60000.00,110.409,2.042,2021-09-01,2017-12-29
929831EE1,250000.00,111.735,1.996,2024-02-01,2017-12-29
97710BLD2,100000.00,108.441,1.337,2037-08-15,2017-12-29
97710BLD2,100000.00,107.501,1.766,2037-08-15,2017-12-29
713192AT9,10000.00,99.903,3.144,2021-01-01,2017-12-29
13063CD80,300000.00,110.064,2.690,2033-09-01,2017-12-29
13063CD80,300000.00,109.664,2.740,2033-09-01,2017-12-29
706711HC5,65000.00,102.224,2.694,2033-03-01,2017-12-29
20772JG22,10000.00,110.313,2.540,2022-06-15,2017-12-29
8821354G8,10000.00,105.245,2.222,2027-05-15,2017-12-29
794665FZ7,30000.00,117.000,1.888,2023-10-15,2017-12-29
74514LB89,10000.00,18.909,,2041-07-01,2017-12-29
59447TQU0,25000.00,117.584,2.943,2042-12-01,2017-12-29
74514LB89,10000.00,19.100,,2041-07-01,2017-12-29
706711HC5,65000.00,100.124,2.982,2033-03-01,2017-12-29
706711HC5,65000.00,100.124,2.982,2033-03-01,2017-12-29
491501DS8,60000.00,110.309,2.069,2021-09-01,2017-12-29
59447TQU0,25000.00,116.584,3.050,2042-12-01,2017-12-29
722035CR1,15000.00,104.080,2.423,2030-07-01,2017-12-29
722035CR1,15000.00,104.480,2.159,2030-07-01,2017-12-29
032555MD3,100000.00,93.550,2.704,2028-08-01,2017-12-29
574218T45,90000.00,102.379,3.698,2046-12-01,2017-12-29
574218T45,90000.00,103.990,3.498,2046-12-01,2017-12-29
548383MS4,100000.00,116.900,2.102,2031-04-01,2017-12-29
869265YA0,10000.00,118.481,2.475,2026-02-15,2017-12-29
083108AC4,15000.00,55.200,16.076,2032-05-01,2017-12-29
660790AM8,320000.00,102.273,1.461,2021-10-01,2017-12-29
24880ALL4,120000.00,96.513,2.505,2025-09-01,2018-01-18
556452FL9,10000.00,92.750,3.220,2033-08-01,2017-12-29
74514LB89,10000.00,19.100,,2041-07-01,2017-12-29
617534AG7,20000.00,100.000,2.497,2020-10-01,2017-12-29
18450CRV4,50000.00,97.879,2.376,2024-02-01,2017-12-29
785849QD5,25000.00,92.411,2.022,2021-12-01,2017-12-29
798306SM9,25000.00,115.787,2.000,2026-08-01,2017-12-29
68442CAY2,10000.00,121.968,2.315,2029-08-15,2017-12-29
798306SM9,25000.00,115.875,1.984,2026-08-01,2017-12-29
7048627D7,10000.00,120.553,1.918,2027-03-01,2017-12-29
7048627D7,10000.00,118.190,2.240,2027-03-01,2017-12-29
574218T45,75000.00,103.990,3.498,2046-12-01,2017-12-29
786005VH8,30000.00,107.703,1.796,2021-08-15,2017-12-29
984674HJ3,25000.00,109.372,2.170,2027-06-15,2017-12-29
689461RN3,500000.00,107.397,1.947,2027-10-01,2017-12-29
567288TY1,100000.00,122.307,2.366,2030-07-01,2017-12-28
341271AA2,15000.00,99.968,2.184,2019-07-01,2017-12-29
341271AA2,15000.00,99.968,2.184,2019-07-01,2017-12-29
763665YB6,25000.00,111.357,1.790,2029-03-01,2017-12-29
18450CRV4,50000.00,97.879,2.376,2024-02-01,2017-12-29
18450CRV4,50000.00,97.754,2.398,2024-02-01,2017-12-29
85236DBC1,270000.00,108.399,3.000,2029-10-01,2017-12-29
1306852J8,200000.00,110.925,2.290,2037-04-01,2017-12-29
13068LZW8,20000.00,99.219,3.061,2034-04-01,2017-12-29
574218T45,75000.00,102.380,3.698,2046-12-01,2017-12-29
802347AT1,5000.00,88.302,3.496,2021-08-01,2017-12-29
13068LZW8,20000.00,97.969,3.160,2034-04-01,2017-12-29
45385LLU5,45000.00,99.998,3.375,2042-12-15,2018-01-08
13068LZW8,20000.00,97.725,3.180,2034-04-01,2017-12-29
64990EFL6,750000.00,111.840,2.050,2037-03-15,2017-12-29
713575WP9,10000.00,117.131,2.506,2033-08-01,2017-12-29
838530PC1,25000.00,89.770,4.168,2029-01-01,2017-12-29
57448RDW7,150000.00,108.664,1.935,2020-12-01,2017-12-29
798755FQ2,300000.00,109.373,2.874,2038-08-01,2017-12-29
798755FQ2,300000.00,108.973,2.920,2038-08-01,2017-12-29
95632CDL0,1000000.00,119.569,2.680,2031-08-15,2017-12-29
215579FN8,250000.00,117.692,2.750,2027-12-01,2017-12-29
338042BB9,50000.00,97.875,3.162,2035-01-15,2017-12-29
785849QD5,25000.00,92.311,2.050,2021-12-01,2017-12-29
399669DM9,15000.00,104.366,2.997,2052-10-01,2018-01-16
172254DD3,130000.00,102.898,1.530,2028-11-01,2017-12-27
59447TQU0,20000.00,116.584,3.050,2042-12-01,2017-12-29
59447TQU0,20000.00,117.584,2.943,2042-12-01,2017-12-29
296335JQ6,25000.00,112.023,1.614,2021-09-01,2017-12-29
66285WGT7,50000.00,112.518,1.950,2041-09-01,2017-12-29
1306852J8,200000.00,110.865,2.304,2037-04-01,2017-12-29
650035F52,100000.00,115.971,1.776,2023-03-15,2017-12-29
650035F52,100000.00,115.846,1.800,2023-03-15,2017-12-29
64972HZN5,105000.00,122.831,2.319,2028-07-15,2017-12-29
29509PHX0,75000.00,101.099,1.724,2018-05-01,2017-12-29
23058PAP2,50000.00,99.200,3.422,2042-12-15,2017-12-28
91523NLJ3,30000.00,99.242,3.294,2043-07-01,2017-12-29
91523NLJ3,30000.00,99.142,3.300,2043-07-01,2017-12-29
219764KB2,100000.00,102.100,1.420,2019-08-01,2017-12-28
155745CW0,100000.00,100.000,3.249,2040-12-01,2018-01-11
02765UFG4,10000.00,112.127,2.162,2027-02-15,2017-12-29
91523NLJ3,30000.00,99.142,3.300,2043-07-01,2017-12-29
650035L89,300000.00,100.685,1.718,2018-03-15,2017-12-29
775475CT1,375000.00,103.740,2.368,2027-06-01,2017-12-29
751093FL4,500000.00,100.000,,2034-02-01,2017-12-28
