cusip,par_traded,price,yield,maturity_date,settlement_date
452650JA3,5000.00,115.959,2.936,2041-11-01,2017-12-29
452650JA3,5000.00,115.620,2.976,2041-11-01,2017-12-29
426362MG1,15000.00,117.132,1.767,2023-08-01,2017-12-29
93974DVY1,10000.00,120.395,2.230,2026-02-01,2017-12-29
45506DXS9,25000.00,90.409,3.700,2044-03-01,2018-01-03
677522CW2,50000.00,113.157,1.909,2023-06-15,2017-12-29
60637ALC4,5000.00,93.000,,2050-01-01,2017-12-29
60637ALC4,5000.00,92.500,,2050-01-01,2017-12-29
45506DXS9,25000.00,92.217,3.585,2044-03-01,2018-01-03
64971M4N9,70000.00,108.420,2.431,2030-08-01,2017-12-29
3733843L8,25000.00,114.430,1.798,2025-01-01,2017-12-29
470844Z95,150000.00,97.980,2.179,2021-02-01,2017-12-29
718814Q41,5000.00,120.142,2.371,2026-07-01,2017-12-29
470844Z95,150000.00,97.980,2.179,2021-02-01,2017-12-29
93974DVY1,10000.00,120.295,2.242,2026-02-01,2017-12-29
93974DVY1,10000.00,120.108,2.265,2026-02-01,2017-12-29
25928MBZ9,5000.00,97.333,4.241,2033-01-15,2017-12-29
674736DR1,50000.00,99.500,3.034,2036-12-01,2017-12-29
64971M4N9,70000.00,110.317,1.715,2030-08-01,2017-12-29
92818L4A7,50000.00,94.750,3.320,2041-11-01,2017-12-29
132034AD1,50000.00,99.030,3.114,2027-11-01,2017-12-29
64971M4N9,70000.00,108.420,2.431,2030-08-01,2017-12-29
132034AD1,50000.00,99.155,3.100,2027-11-01,2017-12-29
662903NN9,10000.00,111.250,1.818,2021-09-01,2017-12-29
562333JN5,10000.00,102.213,2.651,2028-12-01,2017-12-29
662903NN9,10000.00,111.000,1.884,2021-09-01,2017-12-29
68607DSS5,30000.00,114.500,1.874,2022-11-15,2017-12-29
791676DW6,5000.00,98.250,3.282,2031-12-15,2017-12-29
155745CW0,100000.00,97.625,3.400,2040-12-01,2018-01-11
83818PED0,100000.00,101.137,1.894,2019-01-15,2017-12-29
914302FG4,50000.00,98.775,3.326,2041-02-15,2017-12-29
68607DSS5,30000.00,114.625,1.850,2022-11-15,2017-12-29
988176JS3,140000.00,107.806,3.054,2039-08-01,2017-12-28
426362MG1,230000.00,117.172,1.760,2023-08-01,2017-12-29
914302FG4,50000.00,101.275,3.071,2041-02-15,2017-12-29
042599AC4,2045000.00,105.150,1.782,2028-05-01,2017-12-29
796846DZ3,100000.00,113.637,1.607,2024-03-01,2017-12-29
796846DZ3,100000.00,113.537,1.630,2024-03-01,2017-12-29
91412GYQ2,10000.00,118.428,2.272,2031-05-15,2017-12-29
91412GYQ2,10000.00,118.308,2.288,2031-05-15,2017-12-29
426362MG1,245000.00,117.169,1.760,2023-08-01,2017-12-29
45506DXS9,25000.00,90.409,3.700,2044-03-01,2017-12-29
426362MG1,245000.00,117.269,1.743,2023-08-01,2017-12-29
898526EL8,2000000.00,100.508,1.791,2018-06-01,2017-12-28
68607DSS5,20000.00,114.625,1.850,2022-11-15,2017-12-29
68607DSS5,20000.00,114.500,1.874,2022-11-15,2017-12-29
5064846Z2,10000.00,106.850,1.769,2023-03-01,2017-12-29
13068LH24,10000.00,122.109,2.208,2026-10-01,2017-12-29
341271AA2,15000.00,99.968,2.184,2019-07-01,2017-12-29
791676DW6,5000.00,97.750,3.327,2031-12-15,2017-12-29
65819GLT3,50000.00,100.000,3.374,2030-10-01,2018-01-08
13068LH24,10000.00,121.634,2.262,2026-10-01,2017-12-29
914302FG4,50000.00,98.900,3.318,2041-02-15,2017-12-29
158843XC1,75000.00,103.419,1.690,2019-07-01,2017-12-29
13067JMW8,20000.00,104.900,1.932,2021-07-01,2017-12-29
454898TX5,25000.00,114.818,3.012,2042-01-01,2017-12-29
45200FGC7,10000.00,102.138,1.806,2047-08-15,2017-12-29
13067JMW8,20000.00,105.000,1.866,2021-07-01,2017-12-29
13080SKS2,25000.00,101.800,2.751,2029-08-15,2017-12-29
437884NZ8,55000.00,104.907,2.078,2023-09-01,2017-12-29
13067JMW8,20000.00,105.000,1.866,2021-07-01,2017-12-29
13080SKS2,25000.00,101.800,2.751,2029-08-15,2017-12-29
437884NZ8,55000.00,104.896,2.080,2023-09-01,2017-12-28
45200FGC7,10000.00,102.288,1.569,2047-08-15,2017-12-29
5742184L4,5000.00,100.860,3.518,2038-07-01,2017-12-29
5742184L4,5000.00,101.360,2.525,2038-07-01,2017-12-29
5742184L4,5000.00,101.360,2.525,2038-07-01,2017-12-29
928109RT6,50000.00,100.600,2.679,2026-06-01,2017-12-29
927793ZR3,125000.00,94.750,3.357,2038-05-15,2017-12-29
95640HHD3,25000.00,115.283,2.050,2026-08-01,2017-12-29
032555MD3,100000.00,93.425,2.718,2028-08-01,2017-12-29
465650XG9,15000.00,100.838,2.853,2037-04-15,2017-12-29
650035D70,30000.00,106.740,1.872,2020-03-15,2017-12-29
254764HB2,500000.00,102.080,1.400,2045-07-15,2017-12-29
212218SP7,40000.00,102.074,1.600,2019-10-01,2017-12-29
212218SP7,40000.00,102.074,1.600,2019-10-01,2017-12-29
608113BP0,250000.00,101.948,1.370,2024-07-01,2017-12-29
709235UB9,20000.00,107.450,1.500,2026-03-01,2017-12-29
212218SP7,40000.00,102.074,1.600,2019-10-01,2017-12-29
709235UB9,20000.00,107.450,1.500,2026-03-01,2017-12-29
13063CMZ0,35000.00,105.785,2.681,2034-10-01,2018-01-02
13063CMZ0,35000.00,103.785,3.000,2034-10-01,2018-01-02
709235UB9,20000.00,107.450,1.500,2026-03-01,2017-12-29
60637AGQ9,5000.00,104.433,3.518,2048-11-15,2017-12-29
058219TQ9,25000.00,108.308,2.900,2032-08-01,2017-12-29
120532LF1,5000.00,98.170,3.117,2039-07-01,2017-12-29
91802RAK5,5000.00,116.351,2.070,2031-12-15,2017-12-29
562333JN5,10000.00,101.963,2.718,2028-12-01,2017-12-29
562333JN5,10000.00,101.963,2.718,2028-12-01,2017-12-29
89602NS96,15000.00,115.191,2.001,2038-11-15,2018-01-02
54438CKR2,75000.00,101.922,1.703,2026-08-01,2017-12-29
64985HWH6,100000.00,107.738,2.976,2046-08-15,2017-12-29
232760T99,100000.00,100.220,1.629,2018-02-15,2017-12-29
944488QL2,25000.00,110.385,5.360,2025-12-01,2017-12-29
60637AGQ9,5000.00,103.933,3.598,2048-11-15,2017-12-29
57587AXM5,50000.00,100.601,3.424,2037-12-01,2017-12-29
015086MN8,5000.00,114.851,2.048,2038-05-01,2017-12-29
120532LF1,5000.00,101.045,2.873,2039-07-01,2017-12-29
454898TX5,25000.00,114.983,2.991,2042-01-01,2017-12-29
120532LF1,5000.00,98.670,3.085,2039-07-01,2017-12-29
70914PRD6,50000.00,107.618,1.950,2028-11-15,2017-12-29
45200FWD7,25000.00,107.160,1.836,2037-11-15,2017-12-29
45200FWD7,25000.00,107.060,1.906,2037-11-15,2017-12-29
709235UB9,20000.00,107.450,1.500,2026-03-01,2017-12-29
10146LCG0,100000.00,108.778,1.897,2021-12-01,2017-12-29
27627TBM3,400000.00,100.000,,2038-07-01,2017-12-29
608113BP0,250000.00,102.068,1.135,2024-07-01,2017-12-29
498622GZ6,15000.00,104.101,2.250,2036-12-01,2017-12-29
70914PRD6,50000.00,107.493,1.982,2028-11-15,2017-12-29
13063DEL8,15000.00,100.074,2.991,2034-12-01,2017-12-29
542690U34,25000.00,104.623,2.000,2039-04-01,2017-12-29
57587AXM5,50000.00,100.501,3.437,2037-12-01,2017-12-29
542690U34,25000.00,104.751,1.900,2039-04-01,2017-12-29
647310X48,5000.00,108.540,2.008,2022-07-01,2017-12-29
647310X48,5000.00,108.540,2.008,2022-07-01,2017-12-29
74514LB22,10000.00,18.210,,2027-07-01,2017-12-29
798755FP4,50000.00,110.233,2.776,2037-08-01,2017-12-29
70914PRD6,50000.00,107.618,1.950,2028-11-15,2017-12-29
952347VB5,500000.00,109.884,2.100,2034-08-01,2017-12-29
442348J90,10000.00,115.750,2.786,2024-07-01,2017-12-29
442348J90,10000.00,116.000,2.747,2024-07-01,2017-12-29
837031VD2,500000.00,104.625,3.353,2033-04-01,2017-12-29
64985HWH6,100000.00,107.738,2.976,2046-08-15,2017-12-29
56042RQK1,125000.00,98.875,3.580,2037-07-01,2017-12-28
49151E3K7,1500000.00,104.640,2.016,2019-08-01,2017-12-29
787219AC8,10000.00,99.000,5.462,2035-11-01,2018-01-04
592030E89,1000000.00,101.186,1.827,2021-05-15,2017-12-29
49151E3K7,1500000.00,104.690,1.985,2019-08-01,2017-12-29
65820AAL2,100000.00,106.130,2.378,2040-11-01,2017-12-29
01728RKB4,50000.00,101.000,3.039,2029-03-01,2017-12-29
914072WG4,100000.00,118.411,2.095,2025-11-01,2017-12-29
914072WG4,100000.00,118.411,2.095,2025-11-01,2017-12-29
042598AB8,2145000.00,105.000,1.716,2028-05-01,2017-12-29
65820AAL2,100000.00,106.190,2.356,2040-11-01,2017-12-29
837031VE0,750000.00,104.500,3.370,2034-04-01,2017-12-29
01728RKB4,50000.00,101.000,3.039,2029-03-01,2017-12-29
01728RKB4,50000.00,101.000,3.039,2029-03-01,2017-12-29
052414GU7,15000.00,100.163,2.763,2018-11-15,2017-12-29
745291VH4,70000.00,2.250,,2026-08-01,2017-12-29
57582RAD8,5000.00,114.690,1.814,2026-11-01,2017-12-29
517704FQ0,75000.00,98.500,3.604,2038-07-01,2017-12-29
426362MG1,230000.00,116.987,1.791,2023-08-01,2017-12-29
787758NT4,20000.00,105.356,2.100,2022-12-01,2017-12-29
57582RAD8,5000.00,114.190,1.914,2026-11-01,2017-12-29
272875W68,400000.00,107.725,2.629,2028-08-01,2017-12-29
783186SA8,15000.00,112.922,2.402,2043-05-01,2018-01-02
16639EAY0,5000.00,108.213,2.008,2042-11-01,2017-12-29
408810KR9,50000.00,97.262,3.200,2036-02-15,2017-12-29
408810KR9,50000.00,99.637,3.026,2036-02-15,2017-12-29
052455DE9,25000.00,105.012,1.557,2019-05-15,2017-12-29
753387BL2,75000.00,106.034,1.653,2019-11-01,2017-12-29
46613SGB0,30000.00,107.522,3.100,2038-10-01,2017-12-29
604146AS9,55000.00,112.122,1.959,2029-03-01,2017-12-29
66353LAX5,10000000.00,102.957,1.450,2034-11-01,2017-12-28
91802RAK5,5000.00,116.351,2.070,2031-12-15,2017-12-29
13063A4K7,15000.00,103.940,1.809,2020-04-01,2017-12-29
92778VBT4,15000.00,112.056,1.919,2022-02-01,2017-12-29
49126KHS3,25000.00,105.000,3.518,2042-08-15,2017-12-29
25483VCG7,20000.00,103.882,1.688,2019-12-01,2017-12-29
709235XP5,40000.00,118.261,2.056,2024-09-01,2017-12-29
835240ZE5,25000.00,103.190,1.471,2020-02-15,2017-12-29
835240ZE5,25000.00,103.100,1.513,2020-02-15,2017-12-29
59334NEA6,10000.00,109.010,2.389,2030-08-01,2017-12-29
49126KHS3,25000.00,105.000,3.518,2042-08-15,2017-12-29
13063A4K7,15000.00,104.040,1.731,2020-04-01,2017-12-29
13063A4K7,15000.00,104.040,1.731,2020-04-01,2017-12-29
25483VCG7,20000.00,103.782,1.740,2019-12-01,2017-12-29
494890A22,75000.00,109.547,1.640,2020-12-01,2017-12-29
757419FT8,500000.00,99.400,3.055,2031-04-01,2017-12-29
2174895J8,25000.00,104.762,2.010,2020-08-15,2017-12-29
59334NEA6,10000.00,109.160,2.332,2030-08-01,2017-12-29
709224PE3,50000.00,95.500,3.397,2032-06-01,2017-12-29
25483VCG7,20000.00,103.782,1.740,2019-12-01,2017-12-29
052455DE9,25000.00,104.812,1.700,2019-05-15,2017-12-29
442331UZ5,70000.00,107.167,1.627,2020-03-01,2017-12-29
917547ZD6,50000.00,98.751,3.108,2032-05-15,2017-12-29
407288YZ6,100000.00,114.490,2.363,2038-12-01,2017-12-29
38611TAD9,10000.00,110.020,3.085,2053-04-01,2017-12-29
97709TAS5,135000.00,104.593,1.716,2019-06-01,2017-12-29
38611TAD9,10000.00,110.020,3.085,2053-04-01,2017-12-29
283734D32,10000.00,104.352,3.412,2042-08-15,2017-12-29
83755VZL1,25000.00,113.710,2.463,2023-11-01,2017-12-29
97709TAS5,135000.00,104.593,1.716,2019-06-01,2017-12-29
341507L41,20000.00,105.000,1.624,2019-07-01,2017-12-29
341507L41,20000.00,104.800,1.755,2019-07-01,2017-12-29
57582RGJ9,100000.00,119.669,2.037,2025-03-01,2017-12-29
46613SGN4,50000.00,100.000,3.374,2034-10-01,2018-01-05
407288YZ6,100000.00,114.390,2.380,2038-12-01,2017-12-29
646136WV9,25000.00,103.504,4.371,2039-12-15,2017-12-29
646136WV9,25000.00,103.504,4.371,2039-12-15,2017-12-29
917547ZD6,50000.00,98.626,3.119,2032-05-15,2017-12-29
917547ZD6,50000.00,98.626,3.119,2032-05-15,2017-12-29
709224PE3,50000.00,95.375,3.408,2032-06-01,2017-12-29
718814Q33,10000.00,120.457,2.045,2025-07-01,2017-12-29
718814Q33,10000.00,120.207,2.078,2025-07-01,2017-12-29
196632LW1,50000.00,108.628,1.903,2023-11-15,2017-12-29
196632LV3,50000.00,108.658,1.893,2022-11-15,2017-12-29
13063DEL8,15000.00,99.874,3.009,2034-12-01,2017-12-29
608113BP0,250000.00,101.958,1.350,2024-07-01,2017-12-29
75913TJG0,50000.00,107.197,1.943,2024-06-01,2017-12-29
13033LUP0,10000.00,107.875,1.912,2020-08-15,2017-12-29
13068LZW8,30000.00,97.725,3.180,2034-04-01,2017-12-29
13067WLV2,15000.00,124.120,2.030,2027-12-01,2017-12-29
13067WLV2,15000.00,124.040,2.039,2027-12-01,2017-12-29
93974DGV4,35000.00,118.562,1.948,2024-07-01,2017-12-29
93974DGV4,35000.00,118.483,1.960,2024-07-01,2017-12-29
052476G93,15000.00,115.460,2.373,2043-11-15,2017-12-29
35483LMD4,500000.00,118.450,1.980,2024-07-15,2017-12-29
0873474U1,25000.00,112.847,2.120,2025-12-01,2017-12-29
721864DW3,5000.00,107.702,2.556,2023-07-01,2017-12-29
93975WEM3,5000.00,101.530,1.350,2018-06-01,2017-12-29
93975WEM3,5000.00,101.430,1.584,2018-06-01,2017-12-29
537071PX4,50000.00,110.803,1.950,2023-08-01,2017-12-29
93975WEM3,5000.00,101.430,1.584,2018-06-01,2017-12-29
57584XYC9,5000.00,107.586,2.987,2036-07-15,2017-12-29
20774UU29,250000.00,101.842,1.351,2040-07-01,2017-12-28
20774UU29,150000.00,101.842,1.351,2040-07-01,2017-12-28
20774UU29,25000.00,101.842,1.351,2040-07-01,2017-12-28
57584XYC9,5000.00,107.486,3.000,2036-07-15,2017-12-29
83755VZL1,25000.00,113.710,2.463,2023-11-01,2017-12-29
74514LB22,10000.00,18.392,,2027-07-01,2017-12-29
052476G93,15000.00,114.460,2.530,2043-11-15,2017-12-29
59465HUS3,1000000.00,119.804,2.710,2031-12-01,2017-12-29
74529JNL5,25000.00,8.900,,2029-08-01,2017-12-29
59465HUS3,1000000.00,119.900,2.700,2031-12-01,2017-12-29
74529JNL5,25000.00,9.000,,2029-08-01,2017-12-29
709224PE3,50000.00,95.375,3.408,2032-06-01,2017-12-29
914072WG4,100000.00,118.471,2.087,2025-11-01,2017-12-29
59333NZC0,15000.00,56.351,3.673,2033-10-01,2017-12-29
89438LCD8,50000.00,113.304,2.386,2032-01-01,2017-12-29
59261ASG3,5000.00,109.290,2.472,2041-11-15,2017-12-29
551800FJ9,50000.00,108.295,2.901,2041-08-01,2017-12-29
551800FJ9,50000.00,107.223,3.037,2041-08-01,2017-12-29
69182QCR6,275000.00,103.270,2.816,2030-07-15,2017-12-29
819751EY0,500000.00,103.166,2.267,2031-05-15,2017-12-29
6499055W2,10000.00,108.380,2.289,2050-07-01,2017-12-29
718814Q33,5000.00,120.002,2.104,2025-07-01,2017-12-29
186054GB2,25000.00,99.650,1.551,2019-03-01,2017-12-29
409504MY0,500000.00,100.463,2.872,2029-11-15,2017-12-29
718814Q33,5000.00,120.502,2.040,2025-07-01,2017-12-29
283734D32,10000.00,104.352,3.412,2042-08-15,2017-12-29
646136ET4,50000.00,60.491,3.916,2030-12-15,2017-12-29
745190MS4,10000.00,1.400,,2028-07-01,2017-12-29
57584XYC9,5000.00,107.486,3.000,2036-07-15,2017-12-29
010824JH4,50000.00,107.806,2.848,2039-08-01,2017-12-29
010824JH4,50000.00,106.739,3.000,2039-08-01,2017-12-29
589659DW8,50000.00,113.461,2.143,2025-12-01,2017-12-29
41422MCQ6,50000.00,98.467,3.134,2032-04-01,2018-01-11
537071PX4,50000.00,110.803,1.950,2023-08-01,2017-12-29
646136ET4,50000.00,60.491,3.916,2030-12-15,2017-12-29
41422MCQ6,50000.00,97.167,3.250,2032-04-01,2018-01-11
54651TAX3,5000.00,110.037,2.572,2043-08-15,2017-12-29
41422MCQ6,50000.00,97.167,3.250,2032-04-01,2018-01-11
914148JS1,100000.00,100.000,2.999,2030-02-15,2017-12-29
145808AL5,20000.00,117.769,2.459,2025-12-01,2017-12-29
947272GV6,20000.00,99.580,3.033,2033-08-01,2017-12-29
947272GV6,20000.00,98.380,3.131,2033-08-01,2017-12-28
414942PE6,5000.00,97.875,3.632,2042-03-01,2017-12-29
181070DH3,35000.00,105.070,1.578,2019-07-01,2017-12-29
181070DH3,35000.00,104.870,1.709,2019-07-01,2017-12-29
221623YC9,50000.00,110.585,2.736,2033-08-01,2018-01-03
129534AH6,15000.00,108.005,2.026,2022-04-01,2017-12-29
721864DW3,5000.00,107.902,2.477,2023-07-01,2017-12-29
721864DW3,5000.00,107.702,2.556,2023-07-01,2017-12-29
186054GB2,25000.00,99.750,1.465,2019-03-01,2017-12-29
129534AH6,15000.00,107.905,2.050,2022-04-01,2017-12-29
186054GB2,25000.00,99.850,1.379,2019-03-01,2017-12-29
915137U35,400000.00,100.000,,2039-08-01,2017-12-29
287425F64,150000.00,119.820,1.988,2025-02-01,2017-12-29
64990E5J2,35000.00,109.390,1.893,2021-02-15,2017-12-29
786004RD5,5000.00,104.409,-46.501,2019-10-01,2017-12-29
87515ECB8,10000.00,111.792,3.372,2046-11-15,2017-12-29
66285WFX9,20000.00,111.524,2.028,2038-01-01,2017-12-29
956622ZS6,15000.00,103.854,2.748,2023-09-01,2017-12-29
60637ALJ9,165000.00,116.768,2.170,2024-05-15,2017-12-29
792072DR8,10000.00,108.120,2.476,2032-10-01,2017-12-29
745220JX2,25000.00,3.300,,2016-07-01,2017-12-29
745220JX2,25000.00,3.005,,2016-07-01,2017-12-29
74514LE86,2700000.00,21.250,,2035-07-01,2017-12-29
753387BL2,75000.00,105.834,1.760,2019-11-01,2017-12-29
08451PAV3,50000.00,100.000,3.749,2042-11-01,2017-12-29
650367GJ8,15000.00,103.010,3.100,2028-10-01,2017-12-29
442331UZ5,70000.00,106.917,1.740,2020-03-01,2017-12-29
593241BX9,5000.00,106.777,3.180,2042-09-01,2017-12-29
13068LZW8,30000.00,97.475,3.200,2034-04-01,2017-12-29
593241BX9,5000.00,109.054,2.918,2042-09-01,2017-12-29
60412AFW8,40000.00,121.002,2.002,2025-08-01,2017-12-29
60412AFW8,40000.00,120.752,2.034,2025-08-01,2017-12-29
798755FP4,50000.00,109.148,2.900,2037-08-01,2017-12-29
684907TG3,95000.00,99.225,1.614,2020-03-01,2017-12-29
613348BF7,10000.00,55.652,7.010,2026-07-01,2017-12-29
594612DB6,75000.00,107.200,1.668,2020-03-15,2017-12-29
613348BF7,10000.00,56.209,6.889,2026-07-01,2017-12-29
594612DB6,75000.00,107.450,1.558,2020-03-15,2017-12-29
897823BK5,30000.00,100.000,2.999,2033-09-01,2017-12-29
051690EZ4,235000.00,101.349,1.520,2018-12-01,2017-12-29
79765RM30,30000.00,110.518,1.218,2021-11-01,2017-12-29
79765RM30,30000.00,109.272,1.643,2021-11-01,2017-12-29
833153SZ3,80000.00,106.409,1.600,2019-12-01,2017-12-29
802649RJ4,10000.00,116.396,1.933,2023-09-01,2017-12-29
59334DJR6,150000.00,97.434,3.514,2047-10-01,2017-12-29
59334DJR6,150000.00,97.334,3.520,2047-10-01,2017-12-29
5446465Q1,10000.00,124.263,2.162,2027-07-01,2017-12-29
79765RM30,30000.00,109.397,1.600,2021-11-01,2017-12-29
04048RLB0,5000.00,115.703,1.975,2023-07-01,2017-12-29
64990EYK7,30000.00,118.492,2.211,2030-03-15,2017-12-29
04048RLB0,5000.00,115.564,2.000,2023-07-01,2017-12-29
684907TG3,95000.00,98.975,1.732,2020-03-01,2017-12-29
64990EYK7,30000.00,118.572,2.200,2030-03-15,2017-12-29
64465PQ35,50000.00,93.020,2.762,2028-08-15,2017-12-29
64465PQ35,50000.00,93.020,2.762,2028-08-15,2017-12-29
529050EP7,30000.00,117.102,2.981,2028-11-01,2017-12-29
13063BFS6,15000.00,113.000,3.288,2022-03-01,2017-12-29
71883MMJ0,35000.00,118.689,2.277,2025-07-01,2017-12-29
46613P3T1,25000.00,98.625,3.349,2036-10-01,2017-12-29
794665FZ7,30000.00,116.500,1.972,2023-10-15,2017-12-29
60636C8E2,35000.00,100.867,4.024,2038-04-01,2017-12-29
64990E5J2,35000.00,109.210,1.949,2021-02-15,2017-12-29
764581JZ8,175000.00,102.529,1.615,2018-10-01,2017-12-29
208418D83,10000.00,119.000,2.114,2025-02-15,2017-12-29
158843XC1,75000.00,103.319,1.756,2019-07-01,2017-12-29
46613P3T1,25000.00,99.900,3.256,2036-10-01,2017-12-29
93974DGG7,25000.00,116.245,1.880,2023-07-01,2017-12-29
212218SP7,40000.00,101.949,1.683,2019-10-01,2017-12-29
239421GN4,20000.00,102.000,1.197,2028-12-01,2017-12-29
93974DGG7,25000.00,116.245,1.880,2023-07-01,2017-12-29
385230AC1,20000.00,91.140,8.963,2030-02-01,2017-12-29
385230AC1,20000.00,89.805,9.160,2030-02-01,2017-12-29
551800FJ9,50000.00,107.223,3.037,2041-08-01,2017-12-29
385230AC1,20000.00,89.750,9.168,2030-02-01,2017-12-29
239421GN4,20000.00,102.000,1.197,2028-12-01,2017-12-29
745190MS4,165000.00,2.250,,2028-07-01,2017-12-29
270424CB8,40000.00,111.748,2.400,2026-02-15,2017-12-29
4521517F4,200000.00,101.300,0.158,2034-04-01,2017-12-29
46613P3T1,25000.00,98.375,3.367,2036-10-01,2017-12-29
4521517F4,200000.00,100.900,1.691,2034-04-01,2017-12-29
010608K55,100000.00,104.275,1.753,2029-05-01,2017-12-29
516360JV7,390000.00,97.240,3.197,2036-09-01,2017-12-29
87515ECB8,10000.00,111.944,3.352,2046-11-15,2017-12-29
34440TDJ9,45000.00,109.547,2.630,2040-10-01,2017-12-29
34440TDJ9,45000.00,108.462,2.779,2040-10-01,2017-12-29
14915YKH2,30000.00,99.250,4.562,2035-08-01,2017-12-29
160853TH0,25000.00,107.692,2.920,2045-01-15,2017-12-29
594519XA3,100000.00,103.999,-53.660,2021-09-01,2018-01-03
36559NBC1,100000.00,100.590,2.088,2021-11-01,2017-12-29
6775217P5,10000.00,107.309,1.793,2020-05-01,2017-12-29
6775217P5,10000.00,107.559,1.689,2020-05-01,2017-12-29
20772JP22,750000.00,113.830,3.014,2031-11-15,2017-12-29
497705ET6,65000.00,101.730,1.504,2019-03-01,2017-12-29
574218DU4,30000.00,110.332,2.030,2021-08-15,2017-12-29
497705ET6,65000.00,101.530,1.675,2019-03-01,2017-12-29
574218DU4,30000.00,110.773,1.911,2021-08-15,2017-12-29
70914PRD6,50000.00,107.618,1.950,2028-11-15,2017-12-29
57419PVN6,130000.00,100.929,2.048,2020-09-01,2017-12-29
949493XH8,50000.00,96.259,2.407,2028-06-01,2017-12-29
949493XH8,50000.00,96.259,2.407,2028-06-01,2017-12-29
7973554Z4,10000.00,115.581,1.997,2023-07-01,2017-12-29
543536CQ7,30000.00,117.964,2.100,2024-09-01,2017-12-29
745220FM0,25000.00,67.500,,2022-07-01,2017-12-29
254764HB2,100000.00,101.874,1.774,2045-07-15,2017-12-29
59333P2W7,5000.00,102.295,2.166,2038-10-01,2017-12-29
543536CQ7,30000.00,118.964,1.954,2024-09-01,2017-12-29
270182KQ0,25000.00,102.615,2.450,2028-02-01,2017-12-29
646136ET4,50000.00,60.616,3.899,2030-12-15,2017-12-29
158843XC1,75000.00,103.319,1.756,2019-07-01,2017-12-29
764581JZ8,175000.00,102.529,1.615,2018-10-01,2017-12-29
60636C8E2,35000.00,100.867,4.025,2038-04-01,2017-12-29
529050EP7,30000.00,117.102,2.981,2028-11-01,2017-12-29
13063BFS6,15000.00,113.700,3.120,2022-03-01,2017-12-29
71883MMJ0,35000.00,118.689,2.277,2025-07-01,2017-12-29
19648AGH2,3000000.00,101.145,1.632,2041-10-01,2017-12-29
873884QW3,90000.00,100.000,2.999,2034-08-01,2017-12-29
13066K2Q1,20000.00,116.622,1.771,2024-12-01,2017-12-29
13066K2Q1,20000.00,116.622,1.771,2024-12-01,2017-12-29
13066K2Q1,20000.00,116.372,1.815,2024-12-01,2017-12-29
438670V65,5000.00,120.810,2.080,2025-10-01,2017-12-29
438670V65,5000.00,120.310,2.143,2025-10-01,2017-12-29
709224TM1,45000.00,105.210,1.531,2039-06-01,2017-12-29
709224TM1,45000.00,105.010,1.669,2039-06-01,2017-12-29
103331PQ1,45000.00,99.193,3.052,2038-08-15,2018-01-11
103331PQ1,45000.00,97.249,3.183,2038-08-15,2018-01-11
13063CS92,25000.00,100.035,2.995,2036-09-01,2018-01-16
59333PX29,5000.00,102.295,2.166,2038-10-01,2017-12-29
853207AV0,50000.00,106.180,2.960,2034-08-01,2017-12-29
5446465Q1,10000.00,124.383,2.150,2027-07-01,2017-12-29
394514GN7,200000.00,108.670,2.476,2036-03-01,2017-12-29
207743TR6,30000.00,99.793,3.524,2027-11-15,2017-12-29
853207AV0,50000.00,106.180,2.960,2034-08-01,2017-12-29
802649RJ4,10000.00,116.516,1.913,2023-09-01,2017-12-29
207743TR6,30000.00,98.330,3.703,2027-11-15,2017-12-29
956458BW2,360000.00,96.276,2.521,2025-12-01,2017-12-29
802649RJ4,10000.00,116.991,1.832,2023-09-01,2017-12-29
956622ZS6,15000.00,103.954,2.688,2023-09-01,2017-12-29
956622ZS6,15000.00,104.321,2.469,2023-09-01,2017-12-29
64966LKN0,400000.00,117.589,1.960,2024-03-01,2017-12-29
745272DG6,55000.00,90.310,6.005,2032-08-01,2017-12-29
93974CG87,2000000.00,109.642,2.066,2041-06-01,2017-12-29
408810KR9,50000.00,97.137,3.209,2036-02-15,2017-12-29
085383DX2,250000.00,101.163,2.829,2031-08-15,2017-12-29
497604DV7,15000.00,99.195,3.179,2037-12-01,2017-12-29
79765RUU1,25000.00,109.503,1.919,2038-11-01,2017-12-29
914233WB3,75000.00,108.316,2.231,2022-02-15,2017-12-29
20772JP22,200000.00,113.830,3.014,2031-11-15,2017-12-29
3599002Z9,5000.00,101.769,2.566,2024-11-01,2017-12-29
3599002Z9,5000.00,102.280,2.442,2024-11-01,2017-12-29
386168VD7,20000.00,111.889,2.368,2027-01-15,2017-12-29
023015XA3,30000.00,102.014,2.748,2030-02-15,2017-12-29
574218Q48,50000.00,104.625,3.370,2041-07-01,2017-12-29
576051BW5,150000.00,100.000,,2037-08-01,2017-12-27
235308SU8,50000.00,110.279,2.045,2021-08-15,2017-12-29
64972HZN5,105000.00,122.706,2.332,2028-07-15,2017-12-29
132034AD1,50000.00,99.830,3.019,2027-11-01,2017-12-29
132034AD1,50000.00,99.330,3.079,2027-11-01,2017-12-29
649905DS2,50000.00,103.870,1.872,2019-10-01,2017-12-29
235308SU8,50000.00,109.060,2.377,2021-08-15,2017-12-29
3599002Z9,5000.00,102.280,2.442,2024-11-01,2017-12-29
594519XA3,50000.00,104.049,-54.370,2021-09-01,2018-01-03
103331PQ1,45000.00,96.999,3.199,2038-08-15,2018-01-11
